Consent,Role,Industry/Company,Company_Size,Sentiment,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Overall,Behavior (Q1-Q6),Emotion (Q7-Q12),Decision (Q13-Q21)
TRUE,Director,TECH,Large: 250 or more employees,0.25,0.2,0.6,0.4,0.7,0.5,0.6,0.8,0.6,0.8,0.5,0.6,0.3,0.4,0.6,0.4,0.6,0.8,0.9,0.7,0.4,0.6,0.53,0.50,0.60,0.57
TRUE,Marketing Manager,Entertainment,Medium: 50 to 249 employees,0,0.7,0.6,0.8,0.4,0,0.8,0.5,0.9,0.6,0.5,0.8,0.8,0.5,0.7,0.5,0.8,0.5,0.7,0.7,0.4,0.5,0.53,0.55,0.68,0.61
TRUE,Director,Tech,Small: 10 to 49 employees,0,0.4,0.7,0.4,0.6,0.5,0.7,0.8,0.6,0.5,0.6,0.6,0.7,0.5,0.7,0.5,0.8,0.6,0.8,0.5,0.7,0.4,0.53,0.55,0.63,0.62
TRUE,Public Relations,Retail,Micro: 1 to 9 employees,0,0.7,0.4,0.8,0.4,0.8,0.5,0.7,0.5,0.8,0.5,0.8,0.8,0.5,0.7,0.6,0.7,0.5,0,0.7,0.4,0.7,0.52,0.60,0.68,0.56
TRUE,CFO,Entertainment,Small: 10 to 49 employees,0.29,0.7,0.4,0.6,0.7,0.3,0.7,0.4,0.7,0.4,0.8,0.4,0.7,0.7,0.4,0.6,0.4,0.7,0.4,0.5,0.8,0.4,0.52,0.57,0.57,0.56
TRUE,R&D,Finance,Large: 250 or more employees,0,0.5,0,0.5,0.7,0.8,0.6,0.7,0.5,0.7,0.6,0.8,0.6,0.8,0.6,0,0.6,0.8,0.5,0.7,0.5,0.7,0.51,0.52,0.65,0.58
TRUE,Marketing Manager,Automotive,Small: 10 to 49 employees,0,0.6,0.9,0.6,0.4,0.8,0.6,0.3,0.6,0.7,0.5,0.6,0.7,0.4,0.8,0.5,0.3,0.7,0.5,0.7,0.4,0.7,0.51,0.65,0.57,0.57
TRUE,Legal,Hospitality,Large: 250 or more employees,0.25,0.4,0.8,0.7,0.4,0.6,0.6,0.8,0.5,0.6,0.4,0.6,0.4,0.5,0.6,0.5,0.6,0.3,0.6,0.5,0.7,0.5,0.51,0.58,0.55,0.52
TRUE,R&D,Tech,Small: 10 to 49 employees,0,0.6,0.8,0.5,0.7,0.5,0.6,0.6,0.5,0.8,0.6,0.4,0.7,0.5,0.6,0.5,0.6,0.5,0.7,0.4,0.7,0.4,0.51,0.62,0.60,0.56
TRUE,SEO,Real Estate,Small: 10 to 49 employees,0,0,0.7,0.5,0.8,0.5,0.9,0.4,0.7,0.8,0.4,0.7,0.6,0.4,0.8,0.5,0.7,0.8,0.4,0.6,0.8,0.3,0.51,0.57,0.60,0.59
TRUE,Legal,Hospitality,Small: 10 to 49 employees,-0.17,0.9,0.5,0.7,0.6,0.7,0.9,0,0.6,0.3,0.5,0.8,0.9,0.6,0.4,0.7,0.4,0.7,0.6,0.6,0.4,0.7,0.5,0.72,0.52,0.60
TRUE,Legal,Education,Medium: 50 to 249 employees,0,0.6,0.4,0.7,0.4,0.7,0.4,0.7,0.4,0.8,0.5,0.4,0.7,0.4,0.8,0.5,0.7,0.5,0.5,0.8,0.6,0.5,0.5,0.53,0.58,0.60
TRUE,Director,Automotive,Small: 10 to 49 employees,0.25,0.5,0.8,0.5,0.7,0.4,0.8,0.4,0.6,0.8,0.6,0.7,0.5,0,0,0.6,0,0.7,0.9,0.5,0.7,0.5,0.5,0.62,0.60,0.44
TRUE,Other,Optimum LTD,Small: 10 to 49 employees,0.12,-0.2,0.2,0.4,0.7,0.8,0.9,0.6,0.4,0.7,0.9,0.7,0.4,0.4,0.6,0.8,0.5,0.6,0.4,0.6,0.8,0.4,0.5,0.47,0.62,0.55
TRUE,CIO,Real Estate,Micro: 1 to 9 employees,0,0.5,0.8,0.7,0.4,0.7,0.5,0.5,0.7,0.8,0.4,0.6,0.3,0.6,0.8,0.4,0.7,0.4,0.6,0.4,0.8,0.4,0.5,0.60,0.55,0.54
TRUE,Product Development,SOFTWARE ENGINEERING,Small: 10 to 49 employees,0.12,-0.2,0.3,0.8,0.6,0.9,1,0.5,0.3,0.6,0.4,0.8,0.9,0.5,0.7,0.5,0.8,0.5,0.6,0.8,0.1,0.3,0.5,0.57,0.58,0.57
TRUE,Legal,Entertainment,Micro: 1 to 9 employees,0.25,0.1,0.4,0.4,0.4,0.7,0.6,0.3,0.7,0.6,0.5,0.8,0.6,0.3,0.6,0.7,0.5,0.5,0.7,0.5,0.4,0.7,0.49,0.43,0.58,0.55
TRUE,Other,Healthcare,Micro: 1 to 9 employees,-0.2,0.6,0.5,0.2,0.7,0,0.6,0,0.8,0.9,0.7,0.4,0.7,0.9,0.7,0.4,0.7,0.6,0.7,0.7,0.4,0.8,0.48,0.43,0.58,0.66
TRUE,Marketing Manager,Healthcare,Medium: 50 to 249 employees,-0.2,0.4,0.7,0.4,0.5,0.6,0.4,0.7,0.4,0.7,0.7,0.5,0.7,0.5,0.8,0.4,0.5,0.6,0.6,0.4,0.9,0.8,0.48,0.50,0.62,0.62
TRUE,Social Media,commerce ltd,Large: 250 or more employees,0.29,0.1,0.3,0.5,0.7,0.9,0.7,0.4,0.5,0.2,0.5,0.7,0.3,0.6,0.4,0.3,0.6,0.4,0.5,0.6,0.9,0.6,0.48,0.53,0.43,0.52
TRUE,CFO,Automotive,Small: 10 to 49 employees,0,0.6,0.7,0.5,0.7,0.6,0.7,0.5,0.7,0.4,0.7,0.5,0.7,0.4,0.6,0.3,0.6,0.2,0.5,0.7,0.4,0.6,0.48,0.63,0.58,0.50
FALSE,CEO,Healthcare,Small: 10 to 49 employees,0,0.2,0.4,0.6,0.3,0.6,0.6,0.5,0.4,0.6,0.7,0.5,0.6,0.5,0.6,0.5,0.7,0.6,0.8,0.6,0.5,0.6,0.48,0.45,0.55,0.60
TRUE,CTO,Retail,Large: 250 or more employees,0,0.7,0.5,0.7,0.3,0.7,0.6,0.7,0.4,0.7,0.4,0.6,0.6,0.3,0.5,0.7,0.4,0.6,0.4,0.6,0.7,0.5,0.48,0.58,0.57,0.53
TRUE,CFO,BENTA legal lawfirm,Micro: 1 to 9 employees,0.12,0.2,0.7,0.4,0.8,0.6,0.3,0.5,0.7,0.3,0.7,0.4,0.9,0.8,0.9,0.5,0.6,0.4,0.3,-0.1,0.3,0.6,0.47,0.50,0.58,0.52
TRUE,Marketing Manager,Finance,Large: 250 or more employees,0,0.1,0,0.5,0.7,0.8,0.7,0.5,0,0.8,0.7,0.6,0.7,0.6,0.8,0.5,0.7,0.6,0.7,0,0.8,0.5,0.47,0.47,0.55,0.59
TRUE,CFO,Finance,Medium: 50 to 249 employees,0,0.3,0.5,0.6,0.7,0.4,0.7,0.5,0.5,0.6,0.4,0.7,0.6,0.6,0.5,0.6,0.7,0.4,0.4,0.5,0.6,0.5,0.47,0.53,0.55,0.54
TRUE,Legal,Healthcare,Small: 10 to 49 employees,0.25,0.3,0.5,0.7,0.4,0.6,0.3,0.5,0.7,0.4,0.6,0.4,0.8,0.4,0.6,0.4,0.6,0.3,0.6,0.4,0.6,0.4,0.47,0.47,0.57,0.51
TRUE,SEO,Real Estate,Small: 10 to 49 employees,-0.5,0.8,0.5,0.8,0.6,0.4,0.9,0.5,0.8,0.4,0.7,0.2,0.7,0.5,0.8,0.5,0.8,0.5,0.8,0.5,0.7,0.4,0.47,0.67,0.55,0.62
TRUE,Data Analyst,Entertainment,Medium: 50 to 249 employees,-0.1,0.7,0.5,0.8,0.5,0.7,0.5,0.7,0.4,0.7,0.4,0.7,0.4,0.7,0.5,0,0.6,0.5,0.6,0.3,0.4,0.7,0.46,0.62,0.55,0.47
TRUE,CIO,Education,Medium: 50 to 249 employees,0,0.2,0.4,0.6,0.8,0.4,0.5,0.7,0.3,0.6,0.3,0.5,0.7,0.6,0.5,0.6,0.5,0.4,0.8,0.4,0.6,0.7,0.46,0.48,0.52,0.58
TRUE,Product Development,Finance,Large: 250 or more employees,-0.25,0.8,0.4,0.6,0.3,0.5,0.7,0.5,0.6,0.4,0.7,0.5,0.4,0.8,0.5,0.6,0.4,0.6,0.4,0.5,0.9,0.7,0.46,0.55,0.52,0.58
TRUE,Technology,Amillah Computer Systems,Micro: 1 to 9 employees,0.08,0.1,0.4,0.6,0.7,0.9,0.5,0.6,0.5,0.7,0.4,0.6,0.8,0.5,0.3,0.6,0.8,0.6,0.3,0.6,-0.1,0.3,0.46,0.53,0.60,0.47
TRUE,Other,HOSPITALITY,Large: 250 or more employees,0.12,0.2,0.7,0.4,0.7,0.9,1,0.7,0.4,0.2,0,-0.1,0.2,0.4,0.5,0.7,0.5,0.8,1,0.8,0.5,0.2,0.46,0.65,0.23,0.56
TRUE,Other,FREELANCING INDUSTRY,Large: 250 or more employees,0.34,0.1,0.3,0.5,0.6,0.2,0.5,0.6,0.3,0.1,0.3,0.5,0.7,0.8,0.6,0.4,0.7,0.5,0.3,0.4,0.6,0.8,0.45,0.37,0.42,0.58
TRUE,Legal,Healthcare,Small: 10 to 49 employees,0.05,0.4,0.7,0.9,0.4,-0.2,0.3,0.7,0.5,0.5,0.3,0,0.4,0.7,0.8,0.4,0.6,0.8,0.4,0.6,0.7,0.7,0.45,0.42,0.40,0.61
TRUE,Marketing Manager,Healthcare,Micro: 1 to 9 employees,0,0.1,0.5,0.6,0.3,0.5,0.7,0.5,0.3,0.7,0.5,0.7,0.5,0.7,0.5,0.7,0.4,0.6,0.5,0.7,0.4,0.5,0.45,0.45,0.53,0.55
TRUE,Marketing Manager,Tech,Medium: 50 to 249 employees,0,0.6,0.8,0.5,0.9,0.6,0.9,0.4,0.4,0.9,0.6,0,0.4,0,0.5,0.2,0.4,0,0.6,0.9,0.8,0.5,0.45,0.72,0.45,0.43
TRUE,CFO,Real Estate,Micro: 1 to 9 employees,0,0.6,0.5,0.7,0.4,0.6,0.4,0.6,0.4,0.5,0.6,0.6,0.4,0.6,0.5,0.6,0.5,0.4,0.6,0.4,0.6,0.4,0.45,0.53,0.52,0.50
TRUE,Legal,Fashion,Large: 250 or more employees,0.5,0.5,0.3,0.6,0.4,0.7,0.3,0.6,0.3,0.5,0.6,0.3,0,0.6,0.4,0,0.6,0.4,0.5,0.6,0.7,0.3,0.45,0.47,0.38,0.41
TRUE,Data Analyst,Fashion,Small: 10 to 49 employees,0,0.6,0.9,0.7,0.8,0,0.8,0.4,0.8,0.4,0,0.7,0.5,0,0,0.7,0.5,0.6,0.6,0.7,0,0.8,0.44,0.63,0.47,0.44
TRUE,SEO,Real Estate,Small: 10 to 49 employees,0,0,0.7,0.6,0.4,0,0.5,0.9,0,0.7,0.4,0.7,0.3,0.5,0.7,0.4,0.7,0.5,0.5,0.8,0.6,0.6,0.44,0.37,0.50,0.56
TRUE,SEO,Hospitality,Large: 250 or more employees,0,0.8,0.4,0,0,0.7,0.4,0.7,0.5,0.6,0.4,0.6,0.4,0.8,0.4,0.4,0.7,0.4,0.7,0.5,0.6,0.6,0.44,0.38,0.53,0.55
TRUE,Legal,Retail,Medium: 50 to 249 employees,0.25,0,0.6,0.7,0.6,0.3,0.7,0.6,0.5,0.5,0.8,0.6,0.6,0.7,0,0.5,0.6,0.7,0.4,0,0,0.5,0.44,0.48,0.60,0.40
TRUE,CTO,MEDIA INDUSTRY,Micro: 1 to 9 employees,0.12,0.1,0.2,0.4,0.2,0.5,0.3,0.5,0.2,0.5,0.3,0.5,0.4,0.8,0.7,0.9,0.8,0.6,1,0.7,0.2,0.4,0.44,0.28,0.40,0.65
TRUE,Public Relations,Hospitality,Medium: 50 to 249 employees,0,0.3,0.4,0.6,0,0.6,0.3,0,0.5,0.3,0.6,0.8,0.5,0.5,0.8,0.5,0.8,0.5,0.7,0.8,0.6,0.4,0.44,0.37,0.45,0.61
TRUE,Legal,Finance,Small: 10 to 49 employees,0,0,0,0,0.4,0.7,0.5,0.6,0.8,0.5,0.7,0.5,0.7,0.5,0.8,0.5,0.7,0.4,0.7,0.7,0.5,0.4,0.44,0.27,0.63,0.59
TRUE,R&D,Retail,Medium: 50 to 249 employees,0,0.6,0.3,0.6,0.4,0.6,0.5,0.5,0.6,0.4,0.6,0.4,0.6,0.4,0.6,0.3,0.5,0.5,0.7,0.5,0.6,0.4,0.44,0.50,0.52,0.51
TRUE,Legal,Real Estate,Medium: 50 to 249 employees,0.05,0.5,0.3,0.7,0.4,0.9,0.7,0.4,0.7,0.4,0.5,0.6,0.3,0.7,0.3,0.6,0.3,0.4,0.4,0.7,0.3,0.4,0.44,0.58,0.48,0.44
TRUE,Legal,Real Estate,Medium: 50 to 249 employees,-0.25,0.6,0.8,0.6,0.5,0.6,0.7,0.7,0.5,0.7,0.8,0.4,0.7,0.4,0,0.5,0,0.6,0.7,0.3,0.7,0.4,0.44,0.63,0.63,0.43
TRUE,CIO,Fashion,Small: 10 to 49 employees,0,0.6,0.7,0.4,0.8,0.6,0.7,0.4,0.8,0.3,0.7,0.4,0,0.6,0,0,0.7,0,0.9,0.4,0.6,0.8,0.43,0.63,0.43,0.40
TRUE,Product Development,POLLING INDUSTRY,Small: 10 to 49 employees,0.25,0.1,-0.2,0.1,0.5,0.7,0.3,0.5,0.7,0.5,0.3,0.6,0.4,0.5,0.7,0.5,0.3,0.5,0.6,0.8,0.5,0.7,0.43,0.25,0.50,0.55
TRUE,Futurist,Education,Medium: 50 to 249 employees,0,0.4,0.6,0,0.4,0.7,0.4,0.7,0.3,0.5,0.7,0.4,0.6,0.6,0.5,0.6,0.3,0.5,0.6,0.4,0.5,0.6,0.43,0.42,0.53,0.52
TRUE,Legal,Education,Medium: 50 to 249 employees,0,0.7,0.3,0.5,0.8,0.6,0.4,0.8,0.3,0.7,0.3,0.5,0.6,0.8,0.4,0,0.6,0.4,0.7,0.3,0,0.5,0.43,0.55,0.53,0.43
TRUE,Rather Not Say,ADVERTISING INDUSTRY,Micro: 1 to 9 employees,0,-0.1,0.3,0.3,0.5,0.7,0.5,0.3,0.5,0.7,0.8,0.6,0.4,0.7,0.5,0.7,0.4,0.4,0.5,0.8,0.5,0.4,0.43,0.37,0.55,0.53
TRUE,Marketing Manager,Opt Advertising Ltd,Medium: 50 to 249 employees,0.12,0.1,0.5,0.7,0.8,0.5,0.7,0.8,0.9,0.6,0.7,0.4,0.7,0.4,0.6,0.7,0.4,0,-0.1,0.1,0.3,0.2,0.43,0.55,0.68,0.33
TRUE,SEO,MINING GOLD MINE LTD,Large: 250 or more employees,0.12,0.2,0.5,0.8,0.9,0.6,0.3,0.6,0.3,0.6,0.8,0.4,0.2,0.5,0.8,0.6,0.4,0.2,-0.1,0.2,0.3,0.5,0.42,0.55,0.48,0.36
TRUE,R&D,Fashion,Micro: 1 to 9 employees,-0.4,0.3,0.5,0.8,0.5,0.6,0.4,0.7,0.5,0.7,0.5,0.6,0.4,0.5,0.7,0.3,0.6,0.4,0.6,0.4,0.7,0.5,0.42,0.52,0.57,0.51
TRUE,SEO,FOOD INDUSTRY AND AGRICUL,Large: 250 or more employees,0.12,-0.2,0.2,0.4,0.7,0.5,0.3,0.6,0.8,0.3,0.5,0.7,0.5,0.4,0.6,0.8,0.5,0.2,0.5,0.3,0.6,0.4,0.42,0.32,0.57,0.48
FALSE,Director,Education,Large: 250 or more employees,-0.25,0.2,0.6,0.4,0.8,0.4,0.5,0.5,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.4,0.42,0.48,0.55,0.51
TRUE,Legal,Education,Medium: 50 to 249 employees,0,0.4,0.3,0.5,0.7,0.5,0.7,0.3,0.6,0.5,0.4,0.7,0.4,0.5,0.7,0.4,0.6,0.3,0,0.7,0.6,0.3,0.42,0.52,0.48,0.45
TRUE,Product Development,advertising ltd,Large: 250 or more employees,0.25,0.3,0.2,0.7,0.5,0.8,0.6,0.9,0.6,0.4,0.4,0.8,0.5,0.7,0.4,0.2,-0.1,0.2,0.3,0.3,0.4,0.2,0.42,0.52,0.60,0.31
TRUE,Technology,IT,Large: 250 or more employees,0.25,0.2,0.4,0.5,0.2,0.6,0.7,0.3,-0.2,0.1,-0.1,0.3,0.5,0.6,0.8,0.6,0.4,0.2,0.6,0.8,0.9,0.7,0.41,0.43,0.15,0.61
TRUE,Marketing Manager,Optimum Advertising Ltd,Small: 10 to 49 employees,0.37,-0.3,-0.5,0.1,0.3,0.2,0.4,0.6,0.7,0.4,0.6,0.7,0.8,0.8,0.2,0.3,0.5,0.7,0.5,0.7,0.4,0.6,0.41,0.03,0.63,0.55
TRUE,Marketing Manager,Hospitality,Small: 10 to 49 employees,0,0.4,0.2,0.4,0.7,0.4,0.5,0.2,0.5,0.6,0.4,0.4,0.6,0.4,0.6,0.3,0.4,0.6,0.4,0.8,0.5,0.6,0.41,0.43,0.45,0.52
TRUE,CFO,Tech,Medium: 50 to 249 employees,-0.2,0.2,0.4,0.3,0.6,0.3,0.5,0.6,0.3,0.7,0.4,0.8,0.4,0.6,0.4,0.5,0.7,0.4,0.7,0.4,0.7,0.6,0.41,0.38,0.53,0.54
TRUE,Legal,Tech,Small: 10 to 49 employees,0.15,0.3,0.2,0.4,0.6,0.3,0.5,0,0.7,0.4,0,0.7,0.4,0.6,0.5,0.4,0.6,0.5,0.6,0.8,0.4,0.6,0.41,0.38,0.37,0.54
TRUE,Futurist,Hospitality,Small: 10 to 49 employees,0.5,0.2,0.2,0,0,0.5,0,0,0.4,0.7,0.5,0.5,0.7,0.5,0.5,0.8,0.3,0.6,0.3,0.4,0.7,0.6,0.41,0.15,0.47,0.54
TRUE,Futurist,Optimum Advertising Ltd,Micro: 1 to 9 employees,0.12,0.2,0.4,0.5,0.2,-0.1,0.1,0.3,0.2,0.4,0.6,0.8,0.9,0.5,0.3,0.6,0.8,0.3,0.5,0.7,0.8,0.4,0.41,0.22,0.53,0.58
TRUE,Social Media,MEDIA,Medium: 50 to 249 employees,0.12,0.3,0.7,0.9,0.5,0.4,0.6,0.8,0.6,0.3,0.5,0.8,0.5,0.3,0.5,0.2,0.3,0.5,0.2,-0.1,0.2,0.4,0.41,0.57,0.58,0.30
TRUE,Other,MARINE INDUSTRY,Medium: 50 to 249 employees,0.2,0.2,0.2,0.4,0.5,0.7,0.5,0.7,0.5,0.3,0.2,-0.1,0.2,0.5,0.3,0.5,0.8,0.9,0.7,0.3,0.5,0.4,0.41,0.42,0.30,0.51
TRUE,CFO,Finance,Large: 250 or more employees,0.2,0.6,0.7,0.5,0.8,0.5,0.6,0.4,0.9,0.5,0.3,0.7,0.5,0.7,0.5,0,0.4,0,0,0.3,0,0.4,0.41,0.62,0.55,0.28
TRUE,Legal,Automotive,Large: 250 or more employees,-0.17,0.3,0.5,0.4,0.7,0.4,0.5,0.3,0.6,0.5,0.4,0.6,0.4,0.6,0.4,0.7,0.5,0.6,0.5,0.4,0.7,0.4,0.41,0.47,0.47,0.52
TRUE,Brand Strategist,HOSPITALITY,Medium: 50 to 249 employees,0.29,-0.1,0.2,0.4,0.2,0.5,0.7,0.4,0.2,0.6,0.4,0.6,0.4,0.6,0.8,0.5,0.2,0.5,0.8,0.4,0.5,0.2,0.41,0.32,0.43,0.49
TRUE,CFO,Finance,Medium: 50 to 249 employees,-0.25,0,0,0.3,0.7,0,0.8,0,0.8,0.5,0.5,0.7,0.4,0.6,0.7,0.5,0.7,0.6,0.7,0.4,0.7,0.7,0.4,0.30,0.48,0.60
TRUE,Social Media,Hospitality,Medium: 50 to 249 employees,0,0.9,0.5,0.8,0.4,0.8,0,0,0.5,0,0.6,0.6,0.4,0.7,0.6,0.4,0,0.6,0,0.8,0.4,0.7,0.4,0.57,0.35,0.46
TRUE,Public Relations,Tech,Large: 250 or more employees,0.2,0,0.5,0.7,0.4,0.9,0.7,0.5,0.8,0.4,0.7,0.5,0,0,0.7,0,0,0.6,0.4,0,0.6,0.6,0.4,0.53,0.48,0.29
TRUE,Legal,Healthcare,Medium: 50 to 249 employees,0,0.4,0.3,0.3,0.5,0.2,0.5,0.6,0.5,0.3,0.4,0.7,0.3,0.6,0.4,0.7,0.4,0.6,0.3,0.6,0.4,0.6,0.4,0.37,0.47,0.49
TRUE,Product Development,Hospitality,Large: 250 or more employees,-0.4,1,0.7,0.7,0.5,0,0,0.6,0.3,0,0.6,0.6,0.8,0.6,0.8,0.5,0.7,0.7,0,0.5,0.6,0.6,0.4,0.48,0.48,0.58
TRUE,Data Analyst,Education,Medium: 50 to 249 employees,0,0.4,0.3,0,0.6,-0.1,0.6,0.8,0.5,0.6,0.3,0.6,0.3,0.7,0.4,0.8,0.4,0.6,0.5,0.3,0.5,0.6,0.4,0.30,0.52,0.51
TRUE,CEO,Entertainment,Small: 10 to 49 employees,-0.1,0.3,0.5,0.4,0.6,0.9,0.8,0.5,0,0.3,0.6,0.5,0,0,0.7,0.4,0.8,0.5,0.3,0.4,0.7,0.6,0.4,0.58,0.32,0.44
TRUE,Marketing Manager,Education,Large: 250 or more employees,0.2,0,0.1,0.6,0.8,0.4,0.6,0.8,0.5,0.2,0.6,0.6,0.7,0.5,0,0,0.7,0.5,0.4,0,0.5,0.4,0.4,0.42,0.57,0.37
TRUE,CFO,Education,Large: 250 or more employees,0,0.1,0.4,0.6,0.3,0.4,0.6,0.8,0.6,0.4,0.4,0.7,0.4,0.6,0.3,0.4,0.6,0.5,0.3,0.3,0.6,0.4,0.4,0.40,0.55,0.44
TRUE,Legal,Hospitality,Small: 10 to 49 employees,0,0.2,0.4,0.5,0.5,0.2,0.5,0.3,0.5,0.7,0.3,0.6,0.4,0.7,0.4,0.5,0.7,0.4,0.6,0.3,0.6,0.4,0.4,0.38,0.47,0.50
TRUE,Brand Strategist,lawfirm,Small: 10 to 49 employees,0.37,0.2,0.4,0.2,0.4,0.6,0.5,0.8,0.5,0.7,0.6,0.9,0.6,0.1,-0.1,0.2,0.4,0.5,0.6,0.3,-0.1,0.3,0.4,0.38,0.68,0.28
TRUE,Marketing Manager,Education,Large: 250 or more employees,0.5,-0.1,0.3,0.5,0.3,0.5,0.6,0.4,0.2,0.6,0,0.3,0.6,0.4,0.6,0.6,0.3,0.6,0.7,0.5,0,0.3,0.4,0.35,0.35,0.46
TRUE,Data Analyst,Software Engineering,Medium: 50 to 249 employees,0.12,0.2,0.8,0.9,0.6,0.5,0.8,0.6,0.8,0.6,0.8,0.3,0.5,0.3,0,0.2,-0.1,-0.1,0.4,0.4,0.5,0.2,0.4,0.63,0.60,0.23
TRUE,Sales,AGRICULTURE,Small: 10 to 49 employees,0.29,-0.1,0.2,0.5,0.7,0.3,0.1,-0.1,0.2,0.4,0.6,0.8,0.5,0.2,0.5,0.8,0.5,0.7,0.9,0.6,0.3,0.2,0.4,0.28,0.40,0.52
TRUE,Legal,Hospitality,Large: 250 or more employees,0,0.7,0.5,0.8,0.5,0.8,0.3,0.6,0.4,0.7,0.4,0.7,0.4,0.6,0.4,0.5,0.4,0.6,0.4,0,0,0,0.4,0.60,0.53,0.33
TRUE,CTO,HOSPITALITY,Small: 10 to 49 employees,0.21,0.4,0.5,0.3,0.3,0.5,0.8,0.6,0.8,0.6,0.8,0.6,0.8,0.6,0.6,0.8,0,-0.1,0.2,0,0,-0.1,0.4,0.47,0.70,0.28
TRUE,Data Analyst,IT,Medium: 50 to 249 employees,0.12,0.2,0.1,0.3,0.2,0.6,0.8,0.6,0.2,0.5,0.7,0.5,0.2,-0.1,0.3,0.4,0.6,0.3,0.6,0.5,0.7,0.9,0.39,0.37,0.45,0.44
TRUE,CEO,Tech,Medium: 50 to 249 employees,0,0.4,0.6,0.6,0.5,0.6,0.7,0.4,0.6,0.4,0.6,0.3,0,0,0.6,0.5,0.3,0.7,0.3,0,0.5,0.8,0.39,0.57,0.38,0.37
TRUE,Legal,Real Estate,Small: 10 to 49 employees,0.15,0.5,0,0.6,0.2,0.5,0,0.3,0.5,0.4,0.5,0.7,0.3,0.5,0.3,0.5,0.4,0.6,0.4,0.5,0.5,0.6,0.39,0.30,0.45,0.46
TRUE,Brand Strategist,BRENDA LTD,Medium: 50 to 249 employees,0.25,-0.1,0.5,0.8,0.4,0.1,0.4,0.2,0.4,0.2,0.6,0.3,0.6,0.8,0.4,0.5,0.6,0.3,0.5,0.3,0.5,0.4,0.39,0.35,0.38,0.49
TRUE,Director,Healthcare,Medium: 50 to 249 employees,0,0.4,0.2,0.4,0.3,0.6,0.3,0.5,0.4,0.6,0.4,0.5,0.5,0.3,0.4,0.6,0.4,0.5,0.4,0.6,0.7,0.4,0.39,0.37,0.48,0.48
TRUE,Legal,Finance,Large: 250 or more employees,0,0.5,0.5,0.4,0.3,0.2,0.4,0.6,0.3,0.5,0.3,0.6,0.4,0.6,0.4,0.7,0.4,0.5,0,0.5,0.8,0.4,0.39,0.38,0.45,0.47
